lat,long
40.778744,-73.982099
40.782402,-73.98273
40.777065,-73.982217
40.809403,-73.959223
40.806876,-73.967256
40.806824,-73.961079
40.811863,-73.961116
40.810668,-73.958218
40.811472,-73.952101
40.807083,-73.949829
40.804553,-73.951664
40.817216,-73.946086
40.816612,-73.942773
40.809603,-73.939953
40.806475,-73.940188
40.81161,-73.934587
40.809596,-73.937915
40.80716,-73.933638
40.806817,-73.934399
40.79554,-73.9759
40.796653,-73.968483
40.7864,-73.976057
40.78313,-73.978371
40.784445,-73.977454
40.785781,-73.972767
40.789588,-73.9737
40.798298,-73.95248
40.802404,-73.964333
40.804229,-73.968723
40.800612,-73.960117
40.797983,-73.961996
40.792358,-73.964281
40.797149,-73.963972
40.800047,-73.95869
40.794935,-73.946453
40.798125,-73.960109
40.796761,-73.961049
40.780888,-73.956848
40.780188,-73.95943
40.780174,-73.955162
40.771819,-73.963506
40.776954,-73.957563
40.774359,-73.959614
40.773054,-73.958495
40.766085,-73.957516
40.764534,-73.961814
40.792273,-73.948441
40.786028,-73.957339
40.789159,-73.952814
40.790132,-73.953437
40.789743,-73.950276
40.782681,-73.951248
40.780739,-73.946687
40.787419,-73.94485
40.781396,-73.946185
40.785085,-73.941137
40.799017,-73.936331
40.797336,-73.940632
40.801126,-73.931702
40.802883,-73.930109
40.787875,-73.938261
40.784577,-73.941812
40.796069,-73.976677
40.770282,-73.951665
40.768376,-73.953041
40.768545,-73.949509
40.763056,-73.947895
40.799637,-73.924885
40.799952,-73.925706
40.797459,-73.919372
40.805842,-73.968129
40.778371,-73.97324
40.773539,-73.971209
40.769115,-73.972987
40.773556,-73.931392
40.763676,-73.936628
40.781351,-73.920105
40.773356,-73.930678
40.769451,-73.930203
40.771652,-73.928479
40.771741,-73.925597
40.774197,-73.921596
40.778655,-73.920117
40.773032,-73.922881
40.766748,-73.929505
40.812279,-73.928506
40.806979,-73.923306
40.803079,-73.920206
40.804785,-73.926888
40.781154,-73.98369
40.778102,-73.982124
40.776291,-73.982264
40.808002,-73.963956
40.811013,-73.963072
40.807633,-73.967014
40.804762,-73.960181
40.815121,-73.955007
40.815149,-73.958757
40.815741,-73.958277
40.815548,-73.959687
40.815539,-73.956999
40.812747,-73.949341
40.8128,-73.945613
40.810895,-73.947011
40.812963,-73.940193
40.807139,-73.941766
40.805775,-73.942793
40.813998,-73.934638
40.807099,-73.939664
40.80512,-73.93909
40.806953,-73.935568
40.808218,-73.934672
40.806479,-73.930406
40.796064,-73.975074
40.797201,-73.969953
40.788843,-73.977951
40.791489,-73.976073
40.790842,-73.974603
40.787128,-73.971828
40.786624,-73.968537
40.802964,-73.969553
40.800568,-73.96196
40.801209,-73.961523
40.799927,-73.962375
40.80445,-73.955458
40.775565,-73.97657
40.775729,-73.960646
40.774448,-73.961672
40.772516,-73.965214
40.769193,-73.961333
40.779012,-73.962383
40.773711,-73.957993
40.773472,-73.955287
40.767656,-73.959522
40.771803,-73.953433
40.765156,-73.955442
40.803075,-73.952756
40.799022,-73.952454
40.792996,-73.947895
40.801957,-73.943487
40.794839,-73.942402
